Words,Frequency
kuala,1
lumpur,1
logistics,1
company,4
j&t,4
express,4
has,2
clarified,2
that,6
it,2
would,1
not,4
deduct,1
the,33
wages,3
of,13
its,2
employees,10
following,1
uproar,1
over,2
late,1
deliveries,1
also,3
said,5
they,2
did,1
owe,1
their,1
any,1
overdue,1
saying,1
were,2
willing,1
to,17
be,1
monitored,1
by,1
authorities,1
and,19
public,1
vice,1
president,1
jason,1
ren,4
had,7
resumed,1
normal,1
working,3
status,1
as,1
feb,2
5,1
actively,1
sorted,1
processed,1
packages,4
customers,3
in,5
a,9
statement,1
today,1
been,2
fully,1
committed,2
localisation,1
development,2
continuously,1
improving,1
employee,2
compensation,2
benefits,3
promoting,1
malaysia's,1
social,3
economy,1
e,1
commerce,1
industry,1
he,3
added,3
building,1
complete,1
system,1
increase,2
giving,1
year,3
end,1
bonuses,3
after,2
comprehensive,1
consideration,1
accordance,2
with,3
bonus,2
rules,1
regulations,2
malaysian,2
labour,1
law,1
full,1
are,3
paid,2
who,3
have,4
worked,2
for,9
less,1
than,1
according,1
length,1
time,2
without,1
prejudice,1
unfortunately,1
certain,1
department,3
clear,1
about,1
payment,1
scheme,1
which,1
led,1
violent,1
sorting,1
on,5
4,1
inciting,1
some,1
make,1
collective,1
disturbances,1
posting,1
videos,1
media,2
our,8
perak,1
state,1
management,8
immediately,1
handled,1
incident,2
admitted,1
was,2
at,2
fault,2
only,1
providing,1
simple,1
training,3
temporary,1
workers,1
hired,1
due,2
rapid,1
package,1
volume,1
during,1
movement,1
control,1
order,1
period,1
this,2
is,2
indeed,1
we,4
formulated,1
special,1
methods,1
settlement,2
claims,1
supervision,2
similar,1
incidents,1
fast,1
lost,1
yesterday,1
video,2
went,1
viral,1
allegedly,1
staff,2
rioting,1
warehouse,1
problems,1
15,1
second,1
showed,1
man,1
hurling,1
belonging,1
ground,2
made,1
reforms,1
shortest,1
possible,1
including,1
vehicle,1
expansion,1
gone,1
grassroots,1
ensure,1
quality,1
behaviour,1
all,3
deepest,2
apologies,2
malaysians,1
once,1
again,1
shortcomings,1
internal,1
caused,1
dissatisfaction,1
losses,1
from,2
will,2
bear,1
responsibilities,1
quickly,1
improve,1
service,2
standards,1
provide,1
professional,1
own,1
reliable,1
efficient,1
users,1
meanwhile,1
berita,1
harian,1
reported,1
industrial,1
relations,1
currently,1
investigating,2
alleged,1
riot,1
quoting,1
source,1
human,2
resources,2
ministry,2
minister,2
datuk,1
seri,1
m,1
saravanan,1
commented,1
matter,1
under,1
give,1
his,1
final,1
say,1
issue,1
soon,1
